,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Avg counts in Cre-,Avg counts in Cre+
Snord8,7.993158587,4.829459328,1.556907869,3.101955758,0.001922467,0.094666316,8.3,3.6
Papola,649.1221507,0.40753536,0.13147254,3.099775518,0.001936674,0.095032439,542.8,992.1
Sema4a,981.0292343,-0.351081935,0.11332255,-3.098076536,0.001947811,0.095245931,651.5,1965.8
Gm4859,6.703500659,3.055395683,0.987060482,3.095449307,0.00196515,0.095309269,6.7,2.6
H1fx,11.30478606,-3.486163448,1.127202432,-3.09275721,0.001983063,0.095309269,2.5,36.2
mt-Nd4,7682.086905,0.512565154,0.165661215,3.094056473,0.001974399,0.095309269,8252.4,11365
Strbp,197.4930821,1.017782202,0.328921966,3.094296849,0.0019728,0.095309269,183.7,229.4
Tspan13,254.0152047,0.622271749,0.20114669,3.093621625,0.001977295,0.095309269,236.5,353.2
Rpl31-ps21,7.299469727,3.973962003,1.287545155,3.086464183,0.002025523,0.097017735,12.3,1.5
Adgrg3,42.0864563,-2.262405675,0.733829513,-3.083012653,0.002049164,0.097466339,15.2,115.8
Gjc1,9.085839129,6.842367962,2.221488996,3.080081861,0.002069437,0.097466339,18.1,0.2
Ier3,186.276357,-1.019175853,0.330586343,-3.082933924,0.002049707,0.097466339,114.4,442
Rapgef6,1107.130093,0.509738385,0.165496449,3.080056336,0.002069614,0.097466339,943.1,1633.3
Stard13,6.524217303,6.950510913,2.255290674,3.081869221,0.002057052,0.097466339,14.3,0
Uck1,15.18633166,-2.243335332,0.72867535,-3.078648579,0.002079418,0.097600514,4.2,43.7
Gm9874,8.324753633,-5.243778565,1.703977341,-3.077375759,0.002088319,0.09769155,0.2,25
Cd226,337.8513592,0.694468611,0.226118681,3.071257127,0.002131595,0.099384732,334.4,470.5
Gem,334.602699,-0.861413944,0.280768401,-3.068058734,0.002154543,0.09979159,169.2,760.7
Zfp39,9.805036147,-3.540682583,1.154031206,-3.068099516,0.002154249,0.09979159,0.9,31.7
Ermp1,170.5158061,0.82762778,0.27015244,3.063558416,0.002187215,0.099859108,179.4,225.2
Klrb1f,5.322437286,-4.959535683,1.61919589,-3.062962123,0.002191578,0.099859108,7.1,18.8
Nlk,200.4317398,0.734188575,0.239644952,3.063651329,0.002186536,0.099859108,181.1,273.4
Notch1,197.1667791,0.948231319,0.309280066,3.065930922,0.002169934,0.099859108,173.1,240.8
Sesn3,404.0381522,0.733742231,0.239515012,3.063449864,0.002188009,0.099859108,361.9,543
Gramd1a,642.8723522,0.474046554,0.155275436,3.052939763,0.002266114,0.101488016,551.4,946.5
Gramd4,227.3905883,0.883698854,0.289378732,3.053779554,0.002259781,0.101488016,211.5,288.6
Ildr1,107.8734766,-1.2462972,0.408253093,-3.052756297,0.0022675,0.101488016,51.8,270.1
Itga4,931.5185158,-0.452208309,0.148150523,-3.052357158,0.002270518,0.101488016,569.5,1890.6
Malt1,1375.187597,0.487351472,0.159665349,3.05233086,0.002270717,0.101488016,1162.9,2023
Rreb1,101.368071,1.511131637,0.494819462,3.053905016,0.002258836,0.101488016,98,91.2
Tmem86b,97.53385639,1.420086442,0.465891523,3.048105348,0.002302892,0.102599312,80.9,100.1
Tespa1,187.5051912,1.189792633,0.390519805,3.046689607,0.002313765,0.102757525,187.5,198.1
Fam210a,157.079651,0.920877043,0.302985649,3.039342113,0.002370954,0.103118855,139.5,190.6
Gm13408,6.251089587,-3.706540842,1.217943718,-3.043277606,0.002340163,0.103118855,0.5,18.1
Gm14335,8.36682424,7.007338643,2.305197283,3.039799975,0.002367353,0.103118855,7.5,7.3
Iqgap2,459.6517281,0.698877918,0.229935565,3.039451154,0.002370096,0.103118855,407,635.3
Mrpl54,198.7636333,-0.855995153,0.281666325,-3.039039737,0.002373335,0.103118855,96.1,447.9
Tprg,5.16133581,-5.190858838,1.705043579,-3.044414174,0.002331339,0.103118855,0,16.5
Trdmt1,6.740374683,-5.244270787,1.724511987,-3.0410173,0.002357803,0.103118855,0.1,23.6
Ube2d3,1207.110837,0.334001302,0.110018241,3.03587205,0.002398411,0.103440307,987,1868.1
Zdhhc20,618.0296654,-0.482067775,0.158741034,-3.036818928,0.00239089,0.103440307,401.7,1298.5
